"logID","fightID","duration_s","f_kill","f_logNote3","logStatus","averageItemLevel","f_special","Cast_Seq","timestamp_s","hitPoints","x","y","special"
"6NwzFyrtmhQd1aJM",28,61,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"DV",1,51.015,17554319,-17060,54047,NA
"6NwzFyrtmhQd1aJM",29,63,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"DV",1,51.027,17735196,-17060,54047,NA
"6NwzFyrtmhQd1aJM",30,79,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"SoL",1,45.026,20557100,-17329,54594,NA
"6NwzFyrtmhQd1aJM",31,64,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"DV",1,51.037,18290682,-17060,54047,NA
"6NwzFyrtmhQd1aJM",32,61,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"DV",1,51.061,17278672,-17060,54047,NA
"6NwzFyrtmhQd1aJM",33,110,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"LV",1,51.015,17586535,-16796,54164,NA
"6NwzFyrtmhQd1aJM",33,110,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"SoL",2,89.987,4949605,-16445,54373,NA
"6NwzFyrtmhQd1aJM",34,77,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"SoL",1,45.042,19214406,-17016,53915,NA
"6NwzFyrtmhQd1aJM",36,103,"Kill","Execution","Log w/ wipe(s)",250.559997558594,"LV",1,51.002,17482606,-16832,54733,NA
"6NwzFyrtmhQd1aJM",36,103,"Kill","Execution","Log w/ wipe(s)",250.559997558594,"SoD",2,89.997,4132320,-17060,54047,NA
"gJnBC7xL4VPM19cv",13,84,"Wipe","Exec. & Speed","Log w/ wipe(s)",253.279998779297,"SoL",1,45.029,19250880,-15775,58187,NA
"gJnBC7xL4VPM19cv",14,77,"Wipe","Exec. & Speed","Log w/ wipe(s)",253.279998779297,"SoD",1,45.031,19128389,-15866,57597,NA
"gJnBC7xL4VPM19cv",16,77,"Wipe","Exec. & Speed","Log w/ wipe(s)",252.720001220703,"SoD",1,45.054,18839176,-15953,57729,NA
"gJnBC7xL4VPM19cv",17,108,"Wipe","Exec. & Speed","Log w/ wipe(s)",253.279998779297,"DV",1,51.016,16655392,-16779,58663,NA
"gJnBC7xL4VPM19cv",17,108,"Wipe","Exec. & Speed","Log w/ wipe(s)",253.279998779297,"SoL",2,90.012,3156384,-16917,58895,NA
"gJnBC7xL4VPM19cv",18,98,"Kill","Exec. & Speed","Log w/ wipe(s)",253.279998779297,"DV",1,51.021,16593624,-16356,56550,NA
"gJnBC7xL4VPM19cv",18,98,"Kill","Exec. & Speed","Log w/ wipe(s)",253.279998779297,"LV",2,96.002,655822,-16369,57157,NA
"k1tD2vfWaHh63VLn",44,53,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.199996948242,"DV",1,50.963,24103852,-15654,56319,NA
"k1tD2vfWaHh63VLn",45,76,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.199996948242,"LV",1,50.985,16514453,-15757,55615,NA
"k1tD2vfWaHh63VLn",46,67,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.240005493164,"SoL",1,44.991,18947816,-15591,56294,NA
"k1tD2vfWaHh63VLn",47,64,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.240005493164,"LV",1,50.986,17836220,-15401,56157,NA
"k1tD2vfWaHh63VLn",48,71,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.240005493164,"LV",1,51.021,18596082,-15478,56532,NA
"k1tD2vfWaHh63VLn",49,67,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.240005493164,"SoL",1,44.965,21364175,-15409,56771,NA
"k1tD2vfWaHh63VLn",51,75,"Wipe","Exec. & Speed","Log w/ wipe(s)",251.240005493164,"LV",1,50.966,20976359,-15505,56608,NA
